,Locality Name,In Person,Absentee,Provisional,Totals,,Curbside
88,NORTON CITY,"1,038",70,2,"1,110",,2
89,NOTTOWAY COUNTY,"5,008",366,0,"5,374",,0
90,ORANGE COUNTY,"13,862","1,169",35,"15,066",,264
91,PAGE COUNTY,"7,808",537,10,"8,355",,80
92,PATRICK COUNTY,"6,262",462,5,"6,729",,2
93,PETERSBURG CITY,"8,937","1,388",48,"10,373",,173
94,PITTSYLVANIA COUNTY,"23,975","1,399",19,"25,393",,134
95,POQUOSON CITY,"5,411",601,9,"6,021",,38
96,PORTSMOUTH CITY,"31,473","1,962",193,"33,628",,533
97,POWHATAN COUNTY,"13,887","1,139",7,"15,033",,45
98,PRINCE EDWARD COUNTY,"6,668",448,3,"7,119",,54
99,PRINCE GEORGE COUNTY,"11,681","1,111",7,"12,799",,46
100,PRINCE WILLIAM COUNTY,"140,101","24,191",0,"164,292",,"1,148"
101,PULASKI COUNTY,"11,437",705,28,"12,170",,75
102,RADFORD CITY,"4,808",298,5,"5,111",,15
103,RAPPAHANNOCK COUNTY,"3,458",442,9,"3,909",,0
104,RICHMOND CITY,"84,651","4,897",367,"89,915",,681
105,RICHMOND COUNTY,"2,745",170,4,"2,919",,11
106,ROANOKE CITY,"29,143","2,237",110,"31,490",,715
107,ROANOKE COUNTY,"39,091","3,094",67,"42,252",,296
108,ROCKBRIDGE COUNTY,"8,652",747,12,"9,411",,12
109,ROCKINGHAM COUNTY,"29,867","1,886",50,"31,803",,127
110,RUSSELL COUNTY,"8,340",729,6,"9,075",,24
111,SALEM CITY,"9,198",755,5,"9,958",,0
112,SCOTT COUNTY,"7,121",481,2,"7,604",,30
113,SHENANDOAH COUNTY,"15,511","1,071",28,"16,610",,214
114,SMYTH COUNTY,"9,304",435,8,"9,747",,3
115,SOUTHAMPTON COUNTY,"6,692",330,0,"7,022",,40
116,SPOTSYLVANIA COUNTY,"46,531","5,582",69,"52,182",,335
117,STAFFORD COUNTY,"51,572","4,637",59,"56,268",,421
118,STAUNTON CITY,"8,818",834,18,"9,670",,0
119,SUFFOLK CITY,"32,565","2,931",57,"35,553",,238
120,SURRY COUNTY,"3,188",309,4,"3,501",,0
121,SUSSEX COUNTY,"3,736",188,10,"3,934",,0
122,TAZEWELL COUNTY,"12,570",891,8,"13,469",,26
123,VIRGINIA BEACH CITY,"155,246","15,232",883,"171,361",,"2,766"
124,WARREN COUNTY,"13,362",931,19,"14,312",,95
125,WASHINGTON COUNTY,"18,902","1,711",15,"20,628",,79
126,WAYNESBORO CITY,"7,229",530,8,"7,767",,0
127,WESTMORELAND COUNTY,"6,452",654,25,"7,131",,60
128,WILLIAMSBURG CITY,"5,568",678,63,"6,309",,67
129,WINCHESTER CITY,"8,304",871,16,"9,191",,51
130,WISE COUNTY,"10,277",769,2,"11,048",,46
131,WYTHE COUNTY,"10,208",572,12,"10,792",,0
132,YORK COUNTY,"26,630","2,527",50,"29,207",,214
133,Total,"3,028,561","337,607","8,540","3,374,708",,"22,509"
